No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitalty,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type
#023,Ekans,Poison,,3,2,4,2,4,1,3,1,3,2,4,Intimidate,Shed Skin,Unnverve,,Yes,,Beginner,
#024,Arbok,Poison,,5,3,6,2,5,2,5,2,4,2,5,Intimidate,Shed Skin,Unnverve,,,,Amateur,
#025,Pikachu,Electric,,4,2,4,2,5,1,3,2,4,2,4,Static,,Lightning Rod,,Yes,,Beginner,
#026,Raichu,Electric,,5,2,5,3,6,2,4,3,6,2,5,Static,,Lightning Rod,,,,Amateur,
026A,Alolan Raichu,Electric,Psychic,5,2,5,3,6,2,4,3,6,2,5,Surge Surfer,,,,,,Amateur,
#027,Sandshrew,Ground,,3,2,5,1,3,2,5,1,3,1,3,Sand Veil,,Sand Rush,,Yes,,Beginner,
#027A,Alolan Sandshrew,Ice,Steel,3,2,5,1,3,2,5,1,2,1,3,Snow Cloak,,Sludh Rush,,Yes,,Beginner,
#028,Sandslash,Ground,,4,3,6,2,4,3,6,2,4,2,4,Sand Veil,,Sand Rush,,,,Amateur,
#028A,Alolan Sandslash,Ice,Steel,4,3,6,2,4,3,7,1,3,2,4,Snow Cloak,,Sludh Rush,,,,Amateur,
#029,Nidoran F,Poison,,3,2,4,1,3,2,4,1,3,1,3,Poison Point,Rivalry,Hustle,,Yes,,Beginner,F
#030,Nidorina,Poison,,4,2,4,2,4,2,4,2,4,2,4,Poison Point,Rivalry,Hustle,,Yes,,Amateur,F
#031,Nidoqueen,Poison,Ground,5,3,6,2,5,2,5,2,5,2,5,Poison Point,Rivalry,Sheer Force,,Yes,,Ace,F
#032,Nidoran M,Poison,,3,2,4,2,4,1,3,1,3,1,3,Poison Point,Rivalry,Hustle,,Yes,,Beginner,M
#033,Nidorino,Poison,,4,2,5,2,4,2,4,2,4,2,4,Poison Point,Rivalry,Hustle,,,,Amateur,M
#034,Nidoking,Poison,Ground,5,3,6,2,5,2,5,2,5,2,5,Poison Point,Rivalry,Sheer Force,,,,Ace,M
#035,Clefairy,Fairy,,4,2,4,1,3,2,4,2,4,2,4,Cute Charm,Magic Guard,Friend Guard,,Yes,,Beginner,
#036,Clefable,Fairy,,5,2,5,2,4,2,5,3,6,2,5,Cute Charm,Magic Guard,Unaware,,,,Amateur,
#037,Vulpix,Fire,,3,1,3,2,4,1,3,2,4,2,4,Flash Fire,,Drought,,Yes,,Beginner,
#037A,Alolan Vulpix,Ice,,3,1,3,2,4,1,3,2,4,2,4,Snow Cloak,,Snow Warning,,Yes,,Beginner,
#038,Ninetales,Fire,,4,2,5,3,6,2,5,2,5,3,6,Flash Fire,,Drought,,,,Amateur,
#038A,Alolan Ninetales,Ice,,4,2,4,3,6,2,5,2,5,3,6,Snow Cloak,,Snow Warning,,,,Amateur,
#039,Jigglypuff,Normal,Fairy,4,2,4,1,3,1,3,2,4,1,3,Cute Charm,Competitive,Friend Guard,,Yes,,Beginner,
#040,Wigglytuff,Normal,Fairy,7,2,5,2,4,2,4,2,5,2,4,Cute Charm,Competitive,Frisk,,,,Amateur,
#041,Zubat,Poison,Flying,3,2,4,2,4,1,3,1,3,1,3,Inner Focus,,Infiltrator,,Yes,,Beginner,
#042,Golbat,Poison,Flying,4,2,5,2,5,2,5,2,4,2,5,Inner Focus,,Infiltrator,,Yes,,Amateur,
#043,Oddish,Grass,Poison,3,2,4,1,3,2,4,2,5,2,4,Chlorophyll,,Run Away,,Yes,,Beginner,
#044,Gloom,Grass,Poison,4,2,4,2,3,2,5,2,5,2,5,Chlorophyll,,Stench,,Yes,,Amateur,
#045,Vileplume,Grass,Poison,5,2,5,2,4,2,5,3,6,2,5,Chlorophyll,,Effect Spore,,,,Amateur,
#046,Paras,Bug,Grass,3,2,5,1,3,2,4,2,4,2,4,Effect Spore,Dry Skin,Damp,,Yes,,Beginner,
#047,Parasect,Bug,Grass,4,3,6,1,3,2,5,2,5,2,5,Effect Spore,Dry Skin,Damp,,,,Amateur,
#048,Venonat,Bug,Poison,3,2,4,1,3,2,4,2,4,2,4,Compound Eyes,Tinted Lens,Run Away,,Yes,,Beginner,
#049,Venomoth,Bug,Poison,4,2,4,2,4,2,5,2,5,2,5,Shield Dust,Tinted Lens,Wonder Skin,,,,Amateur,
#050,Diglett,Ground,,3,2,4,3,6,1,3,1,3,1,3,Sand Veil,Arena Trap,Sand Force,,Yes,,Beginner,
#050A,Alolan Diglett,Ground,Steel,3,2,4,2,5,1,3,1,3,1,4,Sand Veil,Tangling Hair,Sand Force,,Yes,,Beginner,
#051,Dugtrio,Ground,,4,2,5,3,7,2,4,2,4,2,5,Sand Veil,Arena Trap,Sand Force,,,,Amateur,
#051A,Alolan Dugtrio,Ground,Steel,4,3,6,3,6,2,4,2,4,2,5,Sand Veil,Tangling Hair,Sand Force,,,,Amateur,
#052,Meowth,Normal,,3,2,4,2,5,1,3,1,3,1,3,Pickup,Technician,Unnerve,,Yes,,Beginner,
#052A,Alolan Meowth,Dark,,3,1,3,2,5,1,3,2,4,1,3,Pickup,Technician,Rattled,,Yes,,Beginner,
#052G,Galarian Meowth,Steel,,3,2,5,1,3,2,4,1,3,1,3,Pickup,Tough Claws,Unnerve,,Yes,,Beginner,
#053,Persian,Normal,,4,2,5,3,6,2,4,2,4,2,4,Limber,Technician,Unnerve,,,,Amateur,
#053A,Alolan Persian,Dark,,4,2,4,3,6,2,4,2,5,2,4,Fur Coat,Technician,Rattled,,,,Amateur,
#054,Psyduck,Water,,3,2,4,2,4,2,4,2,4,2,4,Damp,Cloud Nine,Swift Swim,,Yes,,Beginner,
#055,Golduck,Water,,4,2,5,2,5,2,5,3,6,2,5,Damp,Cloud Nine,Swift Swim,,,,Amateur,
#056,Mankey,Fighting,,3,2,5,2,5,1,3,1,3,2,4,Vital Spirit,Anger Point,Defiant,,Yes,,Beginner,
#057,Primeape,Fighting,,4,3,6,3,6,2,4,2,4,2,5,Vital Spirit,Anger Point,Defiant,,,,Amateur,
#058,Growlithe,Fire,,3,2,5,2,5,2,4,2,5,2,4,Intimidate,Flash Fire,Justified,,Yes,,Beginner,
#059,Arcanine,Fire,,4,3,6,3,6,2,5,3,6,2,5,Intimidate,Flash Fire,Justified,,,,Ace,
#060,Poliwag,Water,,3,2,4,2,5,1,3,1,3,1,3,Water Absorb,Damp,Swift Swim,,Yes,,Beginner,
#061,Poliwhirl,Water,,4,2,4,2,5,2,4,2,4,2,4,Water Absorb,Damp,Swift Swim,,Yes,,Amateur,
#062,Poliwrath,Water,Fighting,5,3,6,2,5,3,6,2,5,2,5,Water Absorb,Damp,Swift Swim,,,Yes,Ace,
#063,Abra,Psychic,,3,1,3,2,5,1,2,3,6,1,3,Synchronize,Inner Focus,Magic Guard,,Yes,,Beginner,
#064,Kadabra,Psychic,,4,1,3,3,6,1,3,3,7,2,5,Synchronize,Inner Focus,Magic Guard,,Yes,,Amateur,
#065,Alakazam,Psychic,,5,2,4,3,7,2,4,3,7,3,6,Synchronize,Inner Focus,Magic Guard,,,Yes,Ace,
#065,Mega-Alakazam,Psychic,,6,2,4,4,8,2,4,4,9,3,6,Trace,,,,,,Pro,
#066,Machop,Fighting,,3,2,5,1,3,2,4,1,3,1,3,Guts,No Guard,Steadfast,,Yes,,Beginner,
#067,Machoke,Fighting,,4,3,6,2,4,2,5,2,4,2,4,Guts,No Guard,Steadfast,,Yes,,Amateur,
#068,Machamp,Fighting,,5,3,7,2,4,2,5,2,4,2,5,Guts,No Guard,Steadfast,,,,Ace,
#069,Bellsprout,Grass,Poison,3,2,5,1,3,1,3,2,5,1,3,Chlorophyll,,Gluttony,,Yes,,Starter,
#070,Weepinbell,Grass,Poison,4,2,5,2,4,2,4,2,5,2,4,Chlorophyll,,Gluttony,,Yes,,Beginner,
#071,Victreebel,Grass,Poison,5,3,6,2,5,2,4,3,6,2,5,Chlorophyll,,Gluttony,,,,Amateur,
#072,Tentacool,Water,Poison,3,1,3,2,5,1,3,2,4,3,6,Clear Body,Liquid Ooze,Rain Dish,,Yes,,Beginner,
#073,Tentacruel,Water,Poison,5,2,5,3,6,2,4,2,5,3,7,Clear Body,Liquid Ooze,Rain Dish,,,,Amateur,
#074,Geodude,Rock,Ground,3,2,5,1,3,3,6,1,3,1,3,Rock Head,Sturdy,Sand Veil,,Yes,,Beginner,
#074A,Alolan Geodude,Rock,Electric,3,2,5,1,3,3,6,1,3,1,3,Magnet Pull,Sturdy,Galvanize,,Yes,,Beginner,
#075,Graveler,Rock,Ground,4,3,6,1,3,3,6,2,4,2,4,Rock Head,Sturdy,Sand Veil,,Yes,,Amateur,
#075A,Alolan Graveler,Rock,Electric,4,3,6,1,3,3,6,2,4,2,4,Magnet Pull,Sturdy,Galvanize,,Yes,,Amateur,
#076,Golem,Rock,Ground,5,3,8,2,4,3,7,2,4,2,4,Rock Head,Sturdy,Sand Veil,,,,Ace,
#076A,Alolan Golem,Rock,Electric,5,3,7,2,4,3,7,2,4,2,4,Magnet Pull,Sturdy,Galvanize,,,,Ace,
#077,Ponyta,Fire,,3,2,5,2,5,2,4,2,4,2,4,Run Away,Flash Fire,Flame Body,,Yes,,Beginner,
#077G,Galarian Ponyta,Psychic,,3,2,5,2,5,2,4,2,4,2,4,Run Away,Pastel Veil,Anticipation,,Yes,,Amateur,
#078,Rapidash,Fire,,4,3,6,3,6,2,5,2,5,2,5,Run Away,Flash Fire,Flame Body,,,,Amateur,
#078G,Galarian Rapidash,Psychic,Fairy,4,3,6,3,6,2,5,2,5,2,5,Run Away,Pastel Veil,Anticipation,,,,Ace,
#079,Slowpoke,Water,Psychic,4,2,4,1,2,2,4,1,3,1,3,Oblivious,Own Tempo,Regenerator,,Yes,,Beginner,
#079G,Galarian Slowpoke,Psychic,,4,2,4,1,2,2,4,1,3,1,3,Gluttony,Own Tempo,Regenerator,,,,Beginner,
#080,Slowbro,Water,Psychic,5,2,5,1,3,4,6,3,6,2,5,Oblivious,Own Tempo,Regenerator,,,Yes,Amateur,
#080,Mega-Slowbro,Water,Psychic,5,2,5,1,2,4,9,3,7,2,5,Shell Armor,,,,,,Ace,
#081,Magnemite,Electric,Steel,3,2,4,2,5,2,4,2,4,2,4,Magnet Pull,Sturdy,Analytic,,Yes,,Beginner,N
#082,Magneton,Electric,Steel,4,2,4,2,5,3,6,3,7,2,6,Magnet Pull,Sturdy,Analytic,,Yes,,Amateur,N
#083,Farfetch'd,Normal,Flying,4,2,5,2,4,2,4,2,4,2,4,Keen Eye,Inner Focus,Defiant,,,,Beginner,
#083G,Galarian Farfetch'd,Fighting,,3,2,5,2,4,2,4,2,4,2,4,Steadfast,,Scrappy,,Yes,,Beginner,
#084,Doduo,Normal,Flying,3,2,5,2,5,2,4,1,3,1,3,Run Away,Early Bird,Tangled Feet,,Yes,,Beginner,
#085,Dodrio,Normal,Flying,4,3,6,3,6,2,5,2,4,2,4,Run Away,Early Bird,Tangled Feet,,,,Amateur,
#086,Seel,Water,,3,2,4,2,4,2,4,2,4,2,5,Thick Fat,Hydration,Ice Body,,Yes,,Beginner,
#087,Dewgong,Water,Ice,4,2,5,2,5,2,5,2,5,3,6,Thick Fat,Hydration,Ice Body,,,,Amateur,
#088,Grimer,Poison,,3,2,5,1,3,2,4,1,3,2,4,Stench,Sticky Hold,Poison Touch,,Yes,,Beginner,
#088A,Alolan Grimer,Poison,Dark,3,2,5,1,3,2,4,1,3,2,4,Poison Touch,Gluttony,Power of Alchemy,,Yes,,Beginner,
#089,Muk,Poison,,5,3,6,2,4,2,5,2,4,3,6,Stench,Sticky Hold,Poison Touch,,,,Amateur,
#089A,Alolan Muk,Poison,Dark,5,3,6,2,4,2,5,2,4,3,6,Poison Touch,Gluttony,Power of Alchemy,,,,Amateur,
#090,Shellder,Water,,3,2,4,1,3,3,6,2,4,1,3,Shell Armor,Skill Link,Overcoat,,Yes,,Beginner,
#091,Cloyster,Water,Ice,4,3,6,2,5,4,9,2,5,2,4,Shell Armor,Skill Link,Overcoat,,,,Amateur,
#092,Gastly,Ghost,Poison,4,1,3,2,5,1,3,3,6,1,3,Levitate,,,,Yes,,Beginner,
#093,Haunter,Ghost,Poison,4,2,4,3,6,2,4,3,6,2,4,Levitate,,,,Yes,,Amateur,
#094,Gengar,Ghost,Poison,5,2,4,3,6,2,4,3,7,2,5,Cursed Body,,,,,Yes,Ace,
#094,Mega-Gengar,Ghost,Poison,6,2,4,3,7,2,5,3,9,3,6,Shadow Tag,,,,,,Pro,
#095,Onix,Rock,Ground,8,2,4,2,5,4,8,1,3,2,4,Rock Head,Sturdy,Weak Armor,,Yes,,Amateur,
#096,Drowzee,Psychic,,3,2,4,1,3,2,4,1,3,2,5,Insomnia,Forewarn,Inner Focus,,Yes,,Beginner,
#097,Hypno,Psychic,,4,2,5,2,4,2,5,2,5,3,6,Insomnia,Forewarn,Inner Focus,,,,Amateur,
#098,Krabby,Water,,3,3,6,2,4,2,5,1,3,1,3,Hyper Cutter,Shell Armor,Sheer Force,,Yes,,Beginner,
#099,Kingler,Water,,4,3,7,2,5,3,6,2,4,2,4,Hyper Cutter,Shell Armor,Sheer Force,,,,Amateur,
#100,Voltorb,Electric,,3,1,3,3,6,2,4,2,4,2,4,Soundproof,Static,Aftermath,,Yes,,Beginner,N
#101,Electrode,Electric,,4,2,4,4,8,2,5,2,5,2,5,Soundproof,Static,Aftermath,,,,Amateur,N
#102,Exeggcute,Grass,Psychic,3,1,3,1,3,2,5,2,4,2,4,Chlorophyll,,Harvest,,Yes,,Beginner,
#103,Exeggutor,Grass,Psychic,5,3,6,2,4,2,5,3,7,2,5,Chlorophyll,,Harvest,,,,Amateur,
#103A,Alolan Exeggutor,Grass,Dragon,5,3,6,2,4,2,5,3,7,2,5,Frisk,,Harvest,,,,Amateur,
#104,Cubone,Ground,,3,2,4,1,3,3,6,2,4,2,4,Rock Head,Lightining Rod,Battle Armor,,Yes,,Beginner,
#105,Marowak,Ground,,4,2,5,2,4,3,6,2,4,2,5,Rock Head,Lightining Rod,Battle Armor,,,Yes,Amateur,
#105A,Alolan Marowak,Fire,Ghost,4,2,5,2,4,3,6,2,4,2,5,Cursed Body,Lightining Rod,Rock Head,,,,Amateur,
#106,Hitmonlee,Fighting,,4,3,7,2,5,2,4,1,3,3,6,Limber,Reckless,Unburden,,,,Amateur,M
#107,Hitmonchan,Fighting,,4,3,6,2,4,3,6,1,3,3,6,Keen Eye,Iron Fist,Inner Focus,,,,Amateur,M
#108,Lickitung,Normal,,3,2,4,1,3,2,5,2,4,2,5,Own Tempo,Oblivious,Cloud Nine,,Yes,,Amateur,
#109,Koffing,Poison,,3,2,4,1,3,3,6,2,4,2,4,Levitate,Neutralizing Gas,Stench,,Yes,,Beginner,
#110,Weezing,Poison,,4,2,5,2,4,3,7,2,5,2,5,Levitate,Neutralizing Gas,Stench,,,,Amateur,
#110G,Galarian Weezing,Poison,Fairy,4,2,5,2,4,3,7,2,5,2,5,Levitate,Neutralizing Gas,Misty Surge,,,,Amateur,
#111,Rhyhorn,Ground,Rock,3,2,5,1,3,3,6,1,3,1,3,Lightning Rod,Rock Head,Reckless,,Yes,,Beginner,
#112,Rhydon,Ground,Rock,5,3,7,1,3,3,7,2,4,2,4,Lightning Rod,Rock Head,Reckless,,Yes,,Amateur,
#113,Chansey,Normal,,12,1,2,2,4,1,2,1,3,3,6,Natural Cure,Serene Grace,Healer,,Yes,,Beginner,F
#114,Tangela,Grass,,3,2,4,2,4,3,6,3,6,1,3,Chlorophyll,Leaf Guard,Regenerator,,Yes,,Amateur,
#115,Kangaskhan,Normal,,5,3,6,2,5,2,5,1,3,2,5,Early Bird,Scrappy,Inner Focus,,,Yes,Amateur,F
#115,Mega-Kangaskhan,Normal,,6,3,7,3,6,3,6,2,4,3,6,Parental Bond,,,,,,Ace,F
#116,Horsea,Water,,3,2,4,2,4,2,5,2,5,1,3,Swift Swim,Sniper,Damp,,Yes,,Beginner,
#117,Seadra,Water,,4,2,4,2,5,3,6,3,6,2,4,Poison Point,Sniper,Damp,,Yes,,Amateur,
#118,Goldeen,Water,,3,2,4,2,4,2,4,1,3,2,4,Swift Swim,Water Veil,Lightning Rod,,Yes,,Beginner,
#119,Seaking,Water,,4,3,6,2,4,2,4,2,4,2,5,Swift Swim,Water Veil,Lightning Rod,,,,Amateur,
#120,Staryu,Water,,3,2,4,2,5,2,4,2,5,2,4,Illuminate,Natural Cure,Analytic,,Yes,,Beginner,N
#121,Starmie,Water,Psychic,4,2,5,3,6,2,5,3,6,2,5,Illuminate,Natural Cure,Analytic,,,,Amateur,N
#122,Mr. Mime,Psychic,Fairy,4,2,4,2,5,2,4,3,6,3,7,Soundproof,Filter,Technician,,,,Beginner,
#122G,Galarian Mr. Mime,Ice,Psychic,4,2,4,3,6,2,4,2,5,2,5,Vital Spirit,Screen Cleaner,Ice Body,,,,Amateur,
#123,Scyther,Bug,Flying,3,3,6,3,6,2,5,2,4,2,5,Swam,Technician,Steadfast,,Yes,,Amateur,
#124,Jynx,Ice,Psychic,4,2,4,3,6,1,3,3,6,3,6,Oblivious,Forewarn,Dry Skin,,,,Amateur,F
#125,Electabuzz,Electric,,4,2,5,3,6,2,4,3,6,2,5,Static,,Vital Spirit,,Yes,,Amateur,
#126,Magmar,Fire,,4,3,6,2,5,2,4,3,6,2,5,Flame Body,,Vital Spirit,,Yes,,Amateur,
#127,Pinsir,Bug,,4,3,7,2,5,3,6,2,4,2,5,Hyper Cutter,Mold Breaker,Moxie,,,Yes,Amateur,
#127,Mega-Pinsir,Bug,Flying,5,4,8,3,6,3,7,2,4,2,5,Aerialate,,,,,,Ace,
#128,Tauros,Normal,,4,3,6,3,6,3,6,1,3,2,5,Intimidate,Anger Point,Sheer Force,,,,Amateur,M
#129,Magikarp,Water,,3,1,2,2,5,2,4,1,2,1,3,Swift Swim,,Rattled,,Yes,,Starter,
#130,Gyarados,Water,Flying,7,3,7,2,5,2,5,2,4,3,6,Intimidate,,Moxie,,,Yes,Ace,
#130,Mega-Gyarados,Water,Dark,8,4,8,2,5,3,6,2,5,3,7,Mold Breaker,,,,,,Pro,
#131,Lapras,Water,Ice,6,2,5,2,4,2,5,2,5,3,6,Water Absorb,Shell Armor,Hydration,,,,Amateur,
#132,Ditto,Normal,,4,2,4,2,4,2,4,2,4,2,4,Limber,,Imposter,,,,Amateur,N
#133,Eevee,Normal,,3,2,4,2,4,2,4,2,4,2,4,Run Away,Adaptibility,Anticipation,,Yes,Yes,Beginner,
#134,Vaporeon,Water,,6,2,4,2,4,2,4,3,6,3,6,Water Absorb,,Hydration,,,,Amateur,
#135,Jolteon,Electric,,4,2,4,3,7,2,4,3,6,3,6,Volt Absorb,,Quick Feet,,,,Amateur,
#136,Flareon,Fire,,6,3,7,2,4,2,4,3,6,3,6,Flash Fire,,Guts,,,,Amateur,
#137,Porygon,Normal,,3,2,4,1,3,2,5,2,5,2,5,Trace,Download,Analytic,,Yes,,Beginner,N
#138,Omanyte,Rock,Water,3,1,3,1,3,3,6,2,5,2,4,Swift Swim,Shell Armor,Weak Armor,,Yes,,Beginner,
#139,Omastar,Rock,Water,4,2,4,2,4,3,7,3,6,2,5,Swift Swim,Shell Armor,Weak Armor,,,,Ace,
#140,Kabuto,Rock,Water,3,2,5,2,4,2,5,2,4,2,4,Swift Swim,Battle Armor,Weak Armor,,Yes,,Beginner,
#141,Kabutops,Rock,Water,4,3,6,2,5,3,6,2,4,2,5,Swift Swim,Battle Armor,Weak Armor,,,,Ace,
#142,Aerodactyl,Rock,Flying,4,3,6,3,7,2,4,2,4,2,5,Rock Head,Pressure,Unnerve,,,Yes,Ace,
#142,Mega-Aerodactyl,Rock,Flying,5,3,7,3,7,2,5,2,5,3,6,Tough Claws,,,,,,Pro,
#143,Snorlax,Normal,,8,3,6,1,3,2,4,2,4,3,6,Immunity,Thick Fat,Gluttony,,,,Amateur,
#144,Articuno,Ice,Flying,4,5,5,5,5,6,6,6,6,7,7,Pressure,,Snow Cloak,,,,Master,N
#145,Zapdos,Electric,Flying,4,5,5,6,6,5,5,7,7,5,5,Pressure,,Static,,,,Master,N
#146,Moltres,Fire,Flying,4,6,6,5,5,5,5,7,7,5,5,Pressure,,Flame Body,,,,Master,N
#147,Dratini,Dragon,,3,2,4,2,4,2,4,2,4,2,4,Shed Skin,,Marvel Scale,,Yes,,Amateur,
#148,Dragonair,Dragon,,6,2,5,2,5,2,4,2,5,2,5,Shed Skin,,Marvel Scale,,Yes,,Ace,
#149,Dragonite,Dragon,Flying,6,3,7,2,5,3,6,3,6,3,6,Inner Focus,,Multiscale,,,,Master,
#150,Mewtwo,Psychic,,5,6,6,7,7,5,5,8,8,5,5,Pressure,,Unnerve,,,Yes,Master,N
#150,Mega-Mewtwo Y,Psychic,,6,8,8,7,7,5,5,10,10,7,7,Insomnia,,,,,,Master,N
#150,Mega-Mewtwo X,Psychic,Fighting,6,9,9,7,7,6,6,7,7,6,6,Steadfast,,,,,,Master,N
#151,Mew,Psychic,,5,6,6,6,6,6,6,6,6,6,6,Synchronize,,,,,,Master,N
#152,Chikorita,Grass,,3,2,4,2,4,2,4,2,4,2,4,Overgrow,,Leaf Guard,,Yes,,Starter,
#153,Bayleef,Grass,,4,2,4,2,4,2,5,2,4,2,5,Overgrow,,Leaf Guard,,Yes,,Amateur,
#154,Meganium,Grass,,5,2,5,2,5,3,6,2,5,3,6,Overgrow,,Leaf Guard,,,Yes,Ace,
#155,Cyndaquil,Fire,,3,2,4,2,4,1,3,2,4,2,4,Blaze,,Flash Fire,,Yes,,Starter,
#156,Quilava,Fire,,4,2,4,2,5,2,4,2,5,2,4,Blaze,,Flash Fire,,Yes,,Amateur,
#157,Typhlosion,Fire,,5,2,5,3,6,2,5,3,6,2,5,Blaze,,Flash Fire,,,Yes,Ace,
#158,Totodile,Water,,3,2,4,1,3,2,4,1,3,2,4,Torrent,,Sheer Force,,Yes,,Beginner,
#159,Croconaw,Water,,4,2,5,2,4,2,5,2,4,2,4,Torrent,,Sheer Force,,Yes,,Amateur,
#160,Feraligatr,Water,,5,3,6,2,5,3,6,2,5,2,5,Torrent,,Sheer Force,,,Yes,Ace,
#161,Sentret,Normal,,3,2,4,1,3,1,3,1,3,2,4,Run Away,Keen Eye,Frisk,,Yes,,Starter,
#162,Furret,Normal,,4,2,5,2,4,2,4,2,4,2,5,Run Away,Keen Eye,Frisk,,,,Amateur,
#163,Hoothoot,Normal,Flying,3,1,3,1,3,1,3,2,4,2,4,Insomnia,Keen Eye,Tinted Lens,,Yes,,Beginner,
#164,Noctowl,Normal,Flying,5,2,5,2,5,2,4,2,5,3,6,Insomnia,Keen Eye,Tinted Lens,,,,Amateur,
#165,Ledyba,Bug,Flying,3,1,3,2,4,1,3,1,3,2,5,Swarm,Early Bird,Rattled,,Yes,,Beginner,
#166,Ledian,Bug,Flying,4,1,3,2,5,2,4,2,4,3,6,Swarm,Early Bird,Iron Fist,,,,Amateur,
#167,Spinarak,Bug,Poison,3,2,4,1,3,1,3,1,3,1,3,Swarm,Insomnia,Sniper,,Yes,,Starter,
#168,Ariados,Bug,Poison,4,2,5,1,3,2,5,2,4,2,5,Swarm,Insomnia,Sniper,,,,Amateur,
#169,Crobat,Poison,Flying,5,2,5,3,7,2,5,2,5,2,5,Inner Focus,,Infiltrator,,,,Ace,
#170,Chinchou,Water,Electric,3,1,3,2,4,1,3,2,4,2,4,Volt Absorb,Illuminate,Water Absorb,,Yes,,Beginner,
#171,Lanturn,Water,Electric,6,2,4,2,4,2,4,2,5,2,5,Volt Absorb,Illuminate,Water Absorb,,,,Amateur,
