Signal Beam,bug,SPECIAL,3,SPECIAL,,SPECIAL,CHANNEL,Foe,Roll 1 Chance Dice to Confuse the foe.,""
Silver Wind,bug,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 1 Chance Dice to Increase User's Strength. Dexterity. Special. Defense. Sp. Defense.,""
Spider Web,bug,SUPPORT,0,,,INSIGHT,STEALTH,Battlefield,Blocks.,""
Steamroller,bug,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 3 Chance Dice to Flinch the foe.,""
Sticky Web,bug,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,Entry Hazard. Foe Pokémon that enter the battlefield get a Dexterity Reduction of 1. Pokémon with the Levitate ability and Flying Type Pokémon are immune to this effect.,""
String Shot,bug,SUPPORT,0,,,INSIGHT,NATURE,All Foes,Targets All Foes in Range. Reduce the Dexterity of those affected.,""
Struggle Bug,bug,SPECIAL,1,SPECIAL,,DEXTERITY,CHANNEL,Foe,Reduce the foe's Special.,""
Tail Glow,bug,SUPPORT,0,,,INSIGHT,NATURE,User,Increase the User's Special by 3.,""
Twineedle,bug,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Double action. Ranged. Roll 2 Chance Dice to Poison the foe per hit.,""
U-Turn,bug,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,The user switches out after dealing damage. The replacement Pokémon arrives to ready to fight. Roll its initiative Switcher Move.,""
X-Scissor,bug,PHYSICAL,3,STRENGTH,,STRENGTH,BRAWL,Foe,-,""
Assurance,dark,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,If the User has already received damage from the target this Round add 2 Extra Dice to the Damage Pool.,""
Baddy Bad,dark,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,"If successful, for the next 4 Rounds the User and Allies will receive 1 less damage from Physical Attacks. This effect does not stack. If the user of this Move is at its Final Stage of Evolution, this move fails.",""
Beat Up,dark,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,If the attack is successful add 2 Dice of Damage for every ally Pokémon that spends an action to help the user perform this move. up to 3 allies may join.,""
Bite,dark,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 3 Chance Dice to Flinch the foe.,""
Brutal Swing,dark,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,All Foes,Lethal. Target all Foes in range.,""
Crunch,dark,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Lethal. Roll 1 Chance Dice to reduce foe's Defense.,""
Dark Pulse,dark,SPECIAL,3,SPECIAL,,INSIGHT,CHANNEL,Random Foe,Targets random foe. Roll 2 Chance Dice to Flinch the foe.,""
Dark Void,dark,SUPPORT,0,,,INSIGHT,CHANNEL,All Foes,All Foes in Range have the Sleep condition.  -3 Accuracy.,""
Darkest Lariat,dark,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Ignore the the foe's Attribute Increases that would decrease this Move's damage.,""
Embargo,dark,SUPPORT,0,,,TOUGH,INTIMIDATE,Foe,The target cannon use its held item nor can its trainer use items on it.,""
Fake Tears,dark,SUPPORT,0,,,CUTE,PERFORM,Foe,Reduce the foe's Sp. Defense by 2.,""
False Surrender,dark,PHYSICAL,3,STRENGTH,,INSIGHT,ALLURE,Foe,Never Fail.,""
Feint Attack,dark,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Never Fail.,""
Flatter,dark,SUPPORT,0,,,COOL,ALLURE,Foe,Reduce the foe's Special. Confuse foe.,""
Fling,dark,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Ranged. Add up to 4 Dice to the Damage Pool. depending on the held item thrown. See P. 432 for more info.,""
Foul Play,dark,PHYSICAL,3,,,DEXTERITY,BRAWL,Foe,S.T.A.B of the user and Strength of the foe apply for this move's damage.,""
Hone Claws,dark,SUPPORT,0,,,INSIGHT,NATURE,User,Increase the User's Strength and Accuracy.,""
Hyperspace Fury,dark,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,Never Fails. Ignores the effect of any Shield Move the Foe might have used. Reduce the user's Defense.,""
Jaw Lock,dark,PHYSICAL,3,STRENGTH,,STRENGTH,BRAWL,Foe,Both User and Target are Blocked.,""
Knock Off,dark,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,The target Pokémon loses its held item.,""
Memento,dark,SUPPORT,0,,,WILL,CHANNEL,Foe,The user faints. Reduce foe's Strength. Dexterity. Special. Defense and Sp. Defense by 2. Lasts for a whole scene.,""
Nasty Plot,dark,SUPPORT,0,,,CLEVER,ALERT,User,Increase the user's Special by 2.,""
Night Daze,dark,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 4 Chance Dice to Reduce foe's Accuracy.,""
Night Slash,dark,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Lethal. High Critical.,""
Obstruct,dark,SUPPORT,0,,,DEXTERITY,INTIMIDATE,User,"Priority 4. Shield Move. * If the Foe used a Non-Ranged Physical Move against the user, Reduce the Foes Defense by 2.",""
Parting Shot,dark,SUPPORT,0,,,TOUGH,INTIMIDATE,Foe,Reduce foe's Strength and Special. The user switches out. the new Pokémon arrives ready to fight. Roll for its initiative. Switcher Move.,""
Payback,dark,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Add 2 Extra Dice to the Damage Pool if the target already damaged you this Round.,""
Power Trip,dark,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Add 1 Dice to the Damage Pool of this Move for every Attribute increase the user has. Up to 7 Dice may be added this way. (ie. the user has 2 increased points on Defense. add 2 Damage dice).,""
Punishment,dark,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Add up to 7 Dice to the Damage Pool for every Increased Attribute the foe has. (ie. Foe has 1 Increased dice in Dexterity & Strength that equals +2 Dice on the Damage Pool of this attack).,""
Pursuit,dark,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,If the foe is Switching Out or escaping. Add 2 Dice to the Damage Pool and Priority 1 to this move.,""
Quash,dark,SUPPORT,0,,,TOUGH,INTIMIDATE,Foe,For the rest of the scene. the target will go last in the order of Initiative.,""
Snarl,dark,SPECIAL,2,SPECIAL,,INSIGHT,PERFORM,Foe,Sound Based. Reduce the foe's Special.,""
Snatch,dark,SUPPORT,0,,,CLEVER,STEALTH,Foe,Erase any Increase or Decrease on the foe's Traits. and place them on the User instead.,""
Sucker Punch,dark,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Priority 1. This move can only be used after the Target rolls a damaging move.,""
Switcheroo,dark,SUPPORT,0,,,INSIGHT,STEALTH,Foe,User and Foe switch their Held Item. If only one Pokémon is holding an item it gives it away.,""
Taunt,dark,SUPPORT,0,,,TOUGH,INTIMIDATE,Foe,The target Pokémon can only perform Damaging Moves and Evasion actions for the next 4 Rounds.,""
Thief,dark,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,The user steals the foe's Held Item.,""
Throat Chop,dark,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,"The target cannot use any ""Sound Based"" Move for the rest of the scene.",""
Topsy-Turvy,dark,SUPPORT,0,,,TOUGH,INTIMIDATE,Foe,Any Decreases on the foe's Attributes become Increases and vice versa.,""
Torment,dark,SUPPORT,0,,,TOUGH,INTIMIDATE,Foe,The target cannot use the same Moves it used during the last Round. Lasts 4 Rounds.,""
Breaking Swipe,dragon,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,All Foes,All Foes in Range. Reduce the Strength of those affected.,""
Clanging Scales,dragon,SPECIAL,4,SPECIAL,,DEXTERITY,PERFORM,All Foes,Sound Based. Reduce User's Defense.,""
Clangorous Soul,dragon,SUPPORT,0,,,TOUGH,PERFORM,User,"User deals Damage to itself equal to Half of its total HP rounded down. Increase User's Strength, Dexterity, Special, Defense and Sp. Defense.",""
Core Enforcer,dragon,SPECIAL,4,SPECIAL,,SPECIAL,CHANNEL,Foe,"If successful and the target of this Move has already inflicted damage this Round, remove the Foe's Ability for the rest of the Scene. (Battle Bond, Comatose, Disguise, Multitype, Power Construct, RKS System, Schooling, Stance Change & Shields Down are exceptions)",""
Draco Meteor,dragon,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Reduce User's Special by 2. -1 Accuracy.,""
Dragon Breath,dragon,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 3 Chance Dice to Paralyze the foe.,""
Dragon Claw,dragon,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,-,""
Dragon Dance,dragon,SUPPORT,0,,,TOUGH,PERFORM,User,Increase the User's Strength and Dexterity.,""
Dragon Darts,dragon,PHYSICAL,2,STRENGTH,,DEXTERITY,CHANNEL,Foe,Ranged. Double Action,""
Dragon Hammer,dragon,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,-,""
Dragon Pulse,dragon,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,-,""
Dragon Rage,dragon,SPECIAL,0,,,DEXTERITY,CHANNEL,Foe,This moves always inflicts 2 damage.,""
Dragon Rush,dragon,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 2 Chance Dice to Flinch the foe. -2 Accuracy.,""
Dragon Tail,dragon,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Low Priority 1. The target is hit and knocked back to its trainer. stunned. Forcing the trainer to send another Pokémon. In the wild the target is sent away. Switcher Move. -1 Accuracy.,""
Dual Chop,dragon,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Double Action. -1 Accuracy.,""
Dynamax Cannon,dragon,SPECIAL,4,SPECIAL,,SPECIAL,CHANNEL,Foe,"If the Foe is under the effects of Dynamax, This Move becomes Lethal and you add 4 Extra Dice to the Damage Pool.",""
Eternabeam,dragon,SPECIAL,7,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Must Recharge. -1 Accuracy.,""
Outrage,dragon,PHYSICAL,5,STRENGTH,,STRENGTH,BRAWL,Random Foe,Rampage.,""
Roar Of Time,dragon,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,Foe,"Lethal. If successful, the target can't have any action until next Round. -1 Accuracy.",""
Spacial Rend,dragon,SPECIAL,4,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. High Critical.,""
Twister,dragon,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 2 Chance Dice to Flinch the foes.,""
Aura Wheel,electric,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,"If successful, Increase user's Dexterity. If the user is in “Hangry” Form this Move is considered to be Dark-Type.",""
Bolt Beak,electric,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,"If the Target hasn't had a Turn this Round, add 2 Extra Dice to the Damage pool.",""
Bolt Strike,electric,PHYSICAL,6,STRENGTH,,STRENGTH,BRAWL,Foe,Roll 2 Chance Dice to Paralyze the foe. -2 Accuracy.,""
Buzzy Buzz,electric,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,"Paralyze the foe. If the user of this Move is at its Final Stage of Evolution, this move fails.",""
Charge,electric,SUPPORT,0,,,INSIGHT,NATURE,User,Add 2 Dice to the Damage Pool to the next Electric Damaging move the user performs.,""
Charge Beam,electric,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 5 Chance Dice to Increase the User's Special. -1 Accuracy.,""
Discharge,electric,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Area,Roll 3 Chance Dice to Paralyze those affected.,""
Eerie Impulse,electric,SUPPORT,0,,,INSIGHT,NATURE,Foe,Reduce foe's Special by 2.,""
Electric Terrain,electric,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,"For the Next 4 Rounds all Electric Attacks will deal 1 Extra Dice of Damage. Anyone on the ground will be cured from ""Sleep"" Status.",""
Electrify,electric,SUPPORT,0,,,INSIGHT,NATURE,Foe,The Damage from the next attack made by the target will be Electric Type.,""
Electro Ball,electric,SPECIAL,2,STRENGTH,,DEXTERITY,CHANNEL,Foe,The user adds 1 Dice to the Damage Pool for every Dexterity point the User has that surpasses the foe's. Up to 4 Dice may be added.,""
Electroweb,electric,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,All Foes,Reduce Dexterity of those affected.,""
Fusion Bolt,electric,PHYSICAL,4,STRENGTH,,STRENGTH,CHANNEL,Foe,"Lethal. If the Move “Fusion Flare” has already been used by anyone this Round, add 4 Extra Dice to the Damage Pool of this Move.",""
Ion Deluge,electric,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,For the rest of the Scene. Normal Type Moves will deal damage as if they were Electric Type Moves.,""
Magnet Rise,electric,SUPPORT,0,,,INSIGHT,NATURE,User,For the Next 4 Rounds the User gains immunity against Ground Type Moves.,""
Magnetic Flux,electric,SUPPORT,0,,,INSIGHT,NATURE,User and Allies,Increase the Defense and Sp. Defense of User and all its Electric and Steel Type Allies.,""
Nuzzle,electric,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Paralyze the foe.,""
Overdrive,electric,SPECIAL,3,SPECIAL,,DEXTERITY,PERFORM,All Foes,All Foes in Range. Sound Based.,""
Parabolic Charge,electric,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Area,The user restores HP equal to half the damage dealt to one target. rounded down.,""
Pika Papow,electric,SPECIAL,0,SPECIAL,HAPPINESS,DEXTERITY,CHANNEL,Foe,"Add 1 Die to the Damage Roll for every point of Happiness on the User. If the user of this Move is at its Final Stage of Evolution, this move fails.",""
Plasma Fists,electric,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,"Fist Based. If successful, all Normal-Type Moves of the user will be considered ElectricType until the end of the Scene.",""
Shock Wave,electric,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Never Fail.,""
Spark,electric,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 3 Chance Dice to Paralyze the foe.,""
Thunder,electric,SPECIAL,5,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Roll 3 Chance Dice to Paralyze foe. If performed under Sunny Weather. Reduce 1 additional dice from the Accuracy Roll. If performed under Rain Weather. Ignore this Moves Reduced Accuracy. -2 Accuracy.,""
Thunder Fang,electric,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 2 Chance Dice to Flinch the foe. Roll 2 Chance Dice to Paralyze the foe.,""
Thunder Punch,electric,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Fist Based. Roll 1 Chance Dice to Paralyze foe.,""
Thunder Shock,electric,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 1 Chance Dice to Paralyze the foe.,""
Thunder Wave,electric,SUPPORT,0,,,INSIGHT,NATURE,Foe,Paralyze the foe. -1 Accuracy.,""
Thunderbolt,electric,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 1 Chance Dice to Paralyze the foe.,""
Volt Switch,electric,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,The user switches out after dealing damage. the new Pokémon arrives ready to fight on the next Round. Switcher Move.,""
Volt Tackle,electric,PHYSICAL,5,STRENGTH,,STRENGTH,BRAWL,Foe,Recoil. Roll 1 Chance Dice to Paralyze the Foe.,""
Wild Charge,electric,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Recoil.,""
Zap Cannon,electric,SPECIAL,5,SPECIAL,,DEXTERITY,CHANNEL,Foe,Lethal. Paralyze the Foe. -3 Accuracy.,""
Zing Zap,electric,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 3 Chance Dice to Flinch the Foe.,""
Zippy Zap,electric,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,"Priority 2. This Move is always a Critical Hit and gets the proper Bonus for it. If the user of this Move is at its Final Stage of Evolution, this move fails.",""
Aromatic Mist,fairy,SUPPORT,0,,,INSIGHT,NATURE,One Ally,Increase one Ally's Defense and Sp. Defense.,""
Baby-Doll Eyes,fairy,SUPPORT,0,,,CUTE,ALLURE,Foe,Priority 1. Reduce foe's Strength.,""
Charm,fairy,SUPPORT,0,,,CUTE,ALLURE,Foe,Reduce foe's Strength by 2.,""
Crafty Shield,fairy,SUPPORT,0,,,INSIGHT,NATURE,User and Allies,Priority 3. The User and its Allies are protected from the effects of a Support Move. Shield.,""
Dazzling Gleam,fairy,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,All Foes,-,""
Decorate,fairy,SUPPORT,0,,,BEAUTY,NATURE,One Ally,Increase the Strength and Special of One Ally by 2,""
Disarming Voice,fairy,SPECIAL,2,SPECIAL,,INSIGHT,PERFORM,All Foes,Sound Based. Never Fail. Targets All foes in range.,""
Draining Kiss,fairy,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,The User restores HP equal to half the damage dealt. rounded down.,""
Fairy Lock,fairy,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,Blocks. Last 1 Round.,""
Fairy Wind,fairy,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,-,""
Fleur Cannon,fairy,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Reduce User's Special by 2. -1 Accuracy.,""
Floral Healing,fairy,SUPPORT,0,,,INSIGHT,NATURE,One Ally,Basic Heal. If performed over Grassy Terrain this move is a Complete Heal.,""
Flower Shield,fairy,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,Increase the Defense of All Grass Type Pokémon on the field.,""
Geomancy,fairy,SUPPORT,0,,,INSIGHT,NATURE,User,"Charge Move. The user charges, then Increases by 2 its Dexterity, Special and Sp. Defense scores on its next Turn.",""
Light Of Ruin,fairy,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Recoil. -1 Accuracy.,""
Misty Terrain,fairy,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,Creatures standing on the battlefield won't be affected by Status Ailments. Dragon Type attacks won't add their Power to the Damage Pool. Lasts 4 Rounds.,""
Moonblast,fairy,SPECIAL,3,SPECIAL,,SPECIAL,CHANNEL,Foe,Roll 3 Chance Dice to Reduce foe's Special.,""
Moonlight,fairy,SUPPORT,0,,,INSIGHT,NATURE,User,Basic Heal. If successful spend 1 Will point to activate. If performed at Night or Sunny Weather is in effect this move becomes a Complete Heal. If rain/Sandstorm Weather is in effect this move only heals 1hp,""
Nature's Madness,fairy,SPECIAL,0,,,INSIGHT,NATURE,Foe,"Damage Roll is Half of the Foe's remaining HP (up to 10) Rounded down. If the remaining HP of the foe is 1, this move fails. Ignore the foe's Defenses. -1 Accuracy.",""
Play Rough,fairy,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 1 Chance Dice to Reduce foe's Strength. -1 Accuracy.,""
Sparkly Swirl,fairy,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,"If successful, heal any Status Ailment on the User and Allies. If the user of this Move is at its Final Stage of Evolution, this move fails. -1 Accuracy.",""
Spirit Break,fairy,PHYSICAL,2,STRENGTH,,INSIGHT,BRAWL,Foe,"If successful, reduce the Foe's Special.",""
Strange Steam,fairy,SPECIAL,3,SPECIAL,,SPECIAL,CHANNEL,Foe,Roll 2 Chance Dice to Confuse the Foe.,""
Sweet Kiss,fairy,SUPPORT,0,,,CUTE,ALLURE,Foe,Confuse the foe. -2 Accuracy.,""
Arm Thrust,fighting,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Successive Actions.,""
Aura Sphere,fighting,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,Never Fail.,""
Body Press,fighting,PHYSICAL,3,VITALITY,,STRENGTH,BRAWL,Foe,-,""
Brick Break,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,If a Barrier is in place on the foe's side (ie. Light Screen. Reflect) destroy the barrier and add 2 Extra Dice to the Damage Pool.,""
Bulk Up,fighting,SUPPORT,0,,,VITALITY,ATHLETIC,User,Increase the User's Strength and Defense.,""
Circle Throw,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Low Priority 1. The target is hit and knocked back to its trainer forcing it to send another Pokémon. the in the wild the target is sent away. Switcher Move. -1 Accuracy.,""
Close Combat,fighting,PHYSICAL,5,STRENGTH,,STRENGTH,BRAWL,Foe,After dealing damage. Reduce the User's Defense and Sp. Defense.,""
Counter,fighting,PHYSICAL,2,,,INSIGHT,BRAWL,Foe,This Move can only deal damage if the Foe has dealt Physical Damage to the User this Round. Roll the same Damage Pool as your Foe plus 2 Extra Dice. Ignore the foe's Defenses.,""
Cross Chop,fighting,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,High Critical. -2 Accuracy.,""
Detect,fighting,SUPPORT,0,,,INSIGHT,ALERT,User,Priority. Shield Move. Reduce 3 Damage this pokemon would receive from a Damaging Move. Negate effects of Support Moves that target the user. Reduce to zero the set damage from a move the user would take.,""
Double Kick,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Double Action.,""
Drain Punch,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Fist Based. The user restore HP equal to half the damage dealt. rounded down.,""
Dynamic Punch,fighting,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,Fist Based. Confuse the foe. -3 Accuracy.,""
Final Gambit,fighting,SPECIAL,0,,,WILL,ATHLETIC,Foe,Ignore the foe's Defenses. The user faints after dealing damage.,""
Flying Press,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,When Dealing damage with this move. it counts as if this move was also Flying Type.,""
Focus Blast,fighting,SPECIAL,5,SPECIAL,,SPECIAL,CHANNEL,Foe,Roll 1 Chance Dice to Reduce foe's Sp. Defense. -2 Accuracy.,""
Focus Punch,fighting,PHYSICAL,6,STRENGTH,,STRENGTH,BRAWL,Foe,Fist Based. Charge Move. The User will flinch if it gets hit before releasing this attack.,""
Force Palm,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 3 Chance Dice to Paralyze the foe.,""
Hammer Arm,fighting,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,After dealing damage. Reduce user's Dexterity. -1 Accuracy.,""
High Jump Kick,fighting,PHYSICAL,5,STRENGTH,,DEXTERITY,BRAWL,Foe,If Accuracy Roll is unsuccessful. deal 5 Dice of Damage to the User. -1 Accuracy.,""
Jump Kick,fighting,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,If Accuracy Roll is unsuccessful. deal 4 Dice of Damage to the User.,""
Karate Chop,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,High Critical.,""
Low Kick,fighting,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Add 1 Extra Dice to the Damage Pool for every 50 kgs. of weight on the foe. up to +4 Extra Dice.,""
Low Sweep,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Reduce Foe's Dexterity by 2.,""
Mach Punch,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Fist Based. Priority 1.,""
Mat Block,fighting,SUPPORT,0,,,DEXTERITY,ATHLETIC,User and Allies,Shield. Reduce 3 Dice from the foe's Damage Pool. This Move only works the first Round the User has been out.,""
Meteor Assault,fighting,PHYSICAL,6,STRENGTH,,STRENGTH,BRAWL,Foe,Lethal. Must Recharge. -1 Accuracy.,""
No Retreat,fighting,SUPPORT,0,,,INSIGHT,NATURE,User,"Increase the User's Strength, Dexterity, Special, Defense and Sp. Defense. The user is now blocked.",""
Octolock,fighting,SUPPORT,0,,,STRENGTH,BRAWL,Foe,Block. Reduce the foe's Defense and Sp. Defense.,""
Power-Up Punch,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Fist Based. Increase User's Strength.,""
Quick Guard,fighting,SUPPORT,0,,,DEXTERITY,ATHLETIC,User and Allies,"Priority 3. Shield Move. This move will only protect against Damaging Moves with ""Priority"". Reduce 3 Dice from the foe's Damage Pool. Negate the effects of support moves that target the User and Allies.",""
Revenge,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,If the User has already received damage this round. add 2 Extra Dice to the Damage Pool.,""
Reversal,fighting,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Add 1 Extra Dice to the Damage Pool for every missing HP the User has. Up to 5 Dice may be added this Way.,""
Rock Smash,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 5 Chance Dice tto Reduce foe's Defense.,""
Rolling Kick,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 3 Chance Dice to Flinch the Foe. -2 Accuracy.,""
Sacred Sword,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Ignore any Increases to the foe's Defense.,""
Secret Sword,fighting,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,Apply the foe's Defense instead of its Sp.Defense to resist Damage from this Move,""
